lambda transmission
32885.34158355676 0.0
32904.42767849789 0.0
32923.51377343901 1.0
32942.59986838013 1.0
32961.68596332126 1.0
32980.77205826238 1.0
32999.8581532035 1.0
33018.94424814463 1.0
33038.03034308575 1.0
33057.116438026875 1.0
33076.202532968004 1.0
33095.288627909125 1.0
33114.37472285025 1.0
33133.460817791376 1.0
33152.5469127325 1.0
33171.63300767362 1.0
33190.71910261475 1.0
33209.80519755587 1.0
33228.89129249699 1.0
33247.97738743812 1.0
33267.06348237924 1.0
33286.149577320364 1.0
33305.235672261486 1.0
33324.321767202615 1.0
33343.40786214374 1.0
33362.49395708486 1.0
33381.58005202599 1.0
33400.66614696711 1.0
33419.75224190823 1.0
33438.83833684936 1.0
33457.92443179048 1.0
33477.0105267316 1.0
33496.09662167273 1.0
33515.182716613854 1.0
33534.268811554975 1.0
33553.354906496104 1.0
33572.441001437226 1.0
33591.52709637835 1.0
33610.61319131948 1.0
33629.6992862606 1.0
33648.78538120172 1.0
33667.87147614285 1.0
33686.95757108397 1.0
33706.04366602509 1.0
33725.12976096622 1.0
33744.21585590734 1.0
33763.301950848465 1.0
33782.388045789594 1.0
33801.474140730716 1.0
33820.56023567184 1.0
33839.646330612966 1.0
33858.73242555409 1.0
33877.81852049521 1.0
33896.90461543634 0.0
33915.99071037746 0.0
