lambda transmission
28016.27536078443 0.0
28020.336867795275 0.0
28024.398374806115 1.0
28028.459881816954 1.0
28032.521388827798 1.0
28036.582895838637 1.0
28040.64440284948 1.0
28044.70590986032 1.0
28048.767416871164 1.0
28052.828923882003 1.0
28056.890430892847 1.0
28060.951937903686 1.0
28065.01344491453 1.0
28069.07495192537 1.0
28073.136458936213 1.0
28077.197965947053 1.0
28081.259472957896 1.0
28085.320979968736 1.0
28089.38248697958 1.0
28093.44399399042 1.0
28097.505501001262 1.0
28101.5670080121 1.0
28105.628515022945 1.0
28109.690022033785 1.0
28113.751529044628 1.0
28117.813036055468 1.0
28121.87454306631 1.0
28125.93605007715 1.0
28129.997557087994 1.0
28134.059064098834 1.0
28138.120571109677 1.0
28142.182078120517 1.0
28146.24358513136 1.0
28150.3050921422 1.0
28154.36659915304 1.0
28158.428106163883 1.0
28162.489613174723 1.0
28166.551120185566 1.0
28170.612627196406 1.0
28174.67413420725 1.0
28178.73564121809 1.0
28182.797148228932 1.0
28186.858655239772 1.0
28190.920162250615 1.0
28194.981669261455 1.0
28199.0431762723 1.0
28203.104683283138 1.0
28207.16619029398 1.0
28211.22769730482 1.0
28215.289204315664 1.0
28219.350711326504 1.0
28223.412218337347 1.0
28227.473725348187 1.0
28231.53523235903 1.0
28235.59673936987 1.0
28239.658246380714 1.0
28243.719753391553 1.0
28247.781260402397 1.0
28251.842767413236 1.0
28255.90427442408 1.0
28259.96578143492 1.0
28264.027288445763 1.0
28268.088795456602 1.0
28272.150302467446 1.0
28276.211809478285 1.0
28280.273316489125 1.0
28284.33482349997 1.0
28288.39633051081 1.0
28292.45783752165 1.0
28296.51934453249 1.0
28300.580851543335 1.0
28304.642358554174 1.0
28308.703865565018 1.0
28312.765372575857 1.0
28316.8268795867 1.0
28320.88838659754 1.0
28324.949893608384 1.0
28329.011400619223 1.0
28333.072907630067 1.0
28337.134414640906 1.0
28341.19592165175 1.0
28345.25742866259 1.0
28349.318935673433 1.0
28353.380442684273 1.0
28357.441949695116 1.0
28361.503456705956 1.0
28365.5649637168 1.0
28369.62647072764 1.0
28373.687977738482 1.0
28377.74948474932 1.0
28381.810991760165 1.0
28385.872498771005 1.0
28389.934005781848 1.0
28393.995512792688 1.0
28398.05701980353 1.0
28402.11852681437 1.0
28406.180033825214 1.0
28410.241540836054 1.0
28414.303047846894 1.0
28418.364554857737 1.0
28422.426061868577 1.0
28426.48756887942 1.0
28430.54907589026 1.0
28434.610582901103 1.0
28438.672089911943 1.0
28442.733596922786 1.0
28446.795103933626 1.0
28450.85661094447 1.0
28454.91811795531 1.0
28458.979624966152 1.0
28463.041131976992 1.0
28467.102638987835 1.0
28471.164145998675 1.0
28475.22565300952 1.0
28479.287160020358 1.0
28483.3486670312 1.0
28487.41017404204 1.0
28491.471681052884 1.0
28495.533188063724 1.0
28499.594695074567 1.0
28503.656202085407 1.0
28507.71770909625 1.0
28511.77921610709 1.0
28515.840723117934 1.0
28519.902230128773 1.0
28523.963737139617 1.0
28528.025244150456 1.0
28532.0867511613 1.0
28536.14825817214 1.0
28540.209765182983 1.0
28544.271272193822 1.0
28548.332779204662 1.0
28552.394286215505 1.0
28556.455793226345 1.0
28560.51730023719 1.0
28564.578807248028 1.0
28568.64031425887 1.0
28572.70182126971 1.0
28576.763328280555 1.0
28580.824835291394 1.0
28584.886342302238 1.0
28588.947849313077 1.0
28593.00935632392 1.0
28597.07086333476 1.0
28601.132370345604 1.0
28605.193877356443 1.0
28609.255384367287 1.0
28613.316891378126 1.0
28617.37839838897 1.0
28621.43990539981 1.0
28625.501412410653 1.0
28629.562919421493 1.0
28633.624426432336 1.0
28637.685933443176 1.0
28641.74744045402 1.0
28645.80894746486 1.0
28649.870454475702 1.0
28653.93196148654 1.0
28657.993468497385 1.0
28662.054975508225 1.0
28666.116482519064 1.0
28670.177989529908 1.0
28674.239496540747 1.0
28678.30100355159 1.0
28682.36251056243 1.0
28686.424017573274 1.0
28690.485524584114 1.0
28694.547031594957 1.0
28698.608538605797 1.0
28702.67004561664 1.0
28706.73155262748 1.0
28710.793059638323 1.0
28714.854566649163 1.0
28718.916073660006 1.0
28722.977580670846 1.0
28727.03908768169 1.0
28731.10059469253 1.0
28735.162101703372 1.0
28739.223608714212 1.0
28743.285115725055 1.0
28747.346622735895 1.0
28751.40812974674 1.0
28755.469636757578 1.0
28759.53114376842 1.0
28763.59265077926 1.0
28767.654157790104 1.0
28771.715664800944 1.0
28775.777171811787 1.0
28779.838678822627 1.0
28783.90018583347 1.0
28787.96169284431 1.0
28792.023199855154 1.0
28796.084706865993 1.0
28800.146213876833 1.0
28804.207720887676 1.0
28808.269227898516 1.0
28812.33073490936 1.0
28816.3922419202 1.0
28820.453748931042 1.0
28824.515255941882 1.0
28828.576762952725 1.0
28832.638269963565 1.0
28836.69977697441 1.0
28840.761283985248 0.0
28844.82279099609 0.0
